,1,2,3
Income,0.3205334106208554,1.1761749038539013,-0.8165631599408067
Recency,-0.041491839522476294,0.042822882788731954,0.0011040450086970723
Wines,0.4679262956199704,0.9371578031761745,-0.7738923402102363
Fruits,-0.08560929459081584,1.0987298851583356,-0.539475109465082
Meat,-0.12397598862650373,1.3452098920076485,-0.6493826591683479
Fish,-0.1364009938752877,1.1870410033340923,-0.5573675043876608
Sweets,-0.07476495070619796,1.0815917520303,-0.5365755251552228
Gold,0.33909086079982786,0.6670547904622983,-0.5543411250070184
Deal Purchases,0.7376641818304474,-0.533168681724131,-0.14196525611814934
Web Purchases,0.8394037331017751,0.4138593283884601,-0.7087615955635084
Catalog Purchases,0.15845658297071358,1.2095282218109715,-0.7404423313416587
Store Purchases,0.6239125685167799,0.7987218119151527,-0.7901363184142393
Web Visits Month,0.14923470092565091,-1.0288947619022568,0.4651274457973811
Cmp3 Accepted,0.0673234811165846,0.08170515097690942,0.07142857142857141
Cmp4 Accepted,0.1379310344827585,0.12078152753108343,0.014285714285714103
Cmp5 Accepted,0.029556650246305445,0.24866785079928933,-8.326672684688674e-17
Cmp1 Accepted,0.039408866995073864,0.207815275310835,0.0009523809523810933
Cmp2 Accepted,0.01970443349753694,0.028419182948490225,0.001904761904761904
Complain,0.00821018062397373,0.007104795737122558,0.01047619047619047
Response,0.12972085385878487,0.2770870337477799,0.09047619047619054
Spending,0.2238570787238462,1.330595209202521,-0.8432895844988971
Age,0.28732697006989616,0.06357099798469426,-0.2007358063218574
Has Child,0.11494252873563238,0.7655417406749552,0.120952380952381
Education_2n Cycle,0.06239737274220036,0.09591474245115456,0.10380952380952382
Education_Basic,0.00328407224958948,-1.3877787807814457e-17,0.04952380952380954
Education_Graduation,0.4515599343185552,0.5790408525754885,0.4961904761904763
Education_Master,0.19540229885057475,0.13499111900532862,0.16285714285714284
Education_PhD,0.28735632183908033,0.19005328596802842,0.18761904761904746
Marital Status_In a relationship,0.6518883415435139,0.6287744227353463,0.6514285714285715
Marital Status_Separated,0.16912972085385874,0.13676731793960925,0.12095238095238088
Marital Status_Single,0.1789819376026272,0.23445825932504438,0.22761904761904755
